"","x"
"1",0
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",1
"9",NA
"10",NA
"11",1
"12",1
"13",1
"14",0
"15",NA
"16",NA
"17",1
"18",1
"19",NA
"20",NA
"21",1
"22",NA
"23",NA
"24",0
"25",NA
"26",0
"27",NA
"28",1
"29",0
"30",1
"31",0
"32",1
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",1
"43",1
"44",1
"45",1
"46",1
"47",0
"48",1
"49",NA
"50",0
"51",1
"52",0
"53",0
"54",0
"55",0
"56",1
"57",0
"58",1
"59",1
"60",1
"61",1
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",1
"72",1
"73",0
"74",1
"75",1
"76",1
"77",0
"78",1
"79",1
"80",1
"81",0
"82",0
"83",0
"84",0
"85",0
"86",1
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",1
"93",1
"94",1
"95",0
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",0
"110",0
"111",1
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",0
"119",1
"120",1
"121",1
"122",1
"123",1
"124",0
"125",1
"126",0
"127",1
"128",1
"129",1
"130",1
"131",0
"132",0
"133",1
"134",1
"135",0
"136",1
"137",0
"138",0
"139",0
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",0
"147",1
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",1
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",0
"173",1
"174",0
"175",0
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",1
"183",0
